date,city,state,killed,injured,type,description,source_link,notes
1998-05,St Petersburg,Florida,,,ACID,"10 Florida clinics and others across the South had acid sprayed on them, injuring ""scores"".",http://www.feminist.org/news/newsbyte/uswirestory.asp?id=3539,
1998-05,Clearwater,Florida,,,ACID,"10 Florida clinics and others across the South had acid sprayed on them, injuring ""scores"".",http://www.feminist.org/news/newsbyte/uswirestory.asp?id=3539,
1998-05,Daytona Beach,Florida,,,ACID,"10 Florida clinics and others across the South had acid sprayed on them, injuring ""scores"".",http://www.cbsnews.com/news/acid-attack-on-5-abortion-clinics/,
1998-05,Pensacola,Florida,,,ACID,"10 Florida clinics and others across the South had acid sprayed on them, injuring ""scores"".",http://www.cbsnews.com/news/acid-attack-on-5-abortion-clinics/,
1998-05,Pensacola,Florida,,,ACID,"10 Florida clinics and others across the South had acid sprayed on them, injuring ""scores"".",http://www.cbsnews.com/news/acid-attack-on-5-abortion-clinics/,
1998-05,Miami,Florida,,1,ACID,"10 Florida clinics and others across the South had acid sprayed on them, injuring ""scores"".",http://www.cbsnews.com/news/acid-attack-on-5-abortion-clinics/,
1998-05,Miami,Florida,,1,ACID,"10 Florida clinics and others across the South had acid sprayed on them, injuring ""scores"".",http://www.cbsnews.com/news/acid-attack-on-5-abortion-clinics/,
1998-05,Miami,Florida,,1,ACID,"10 Florida clinics and others across the South had acid sprayed on them, injuring ""scores"".",http://www.cbsnews.com/news/acid-attack-on-5-abortion-clinics/,
1998-05,Miami,Florida,,,ACID,"10 Florida clinics and others across the South had acid sprayed on them, injuring ""scores"".",http://www.cbsnews.com/news/acid-attack-on-5-abortion-clinics/,
1998-05,Miami,Florida,,,ACID,"10 Florida clinics and others across the South had acid sprayed on them, injuring ""scores"".",http://www.cbsnews.com/news/acid-attack-on-5-abortion-clinics/,
1998-07,Houston,Texas,,2,ACID,"4 Houston clinics and others across the South had acid sprayed on them, injuring ""scores"".",http://www.feminist.org/rrights/pdf/aavw21.pdf,
1998-07,Houston,Texas,,2,ACID,"4 Houston clinics and others across the South had acid sprayed on them, injuring ""scores"".",http://www.feminist.org/rrights/pdf/aavw21.pdf,
1998-07,Houston,Texas,,2,ACID,"4 Houston clinics and others across the South had acid sprayed on them, injuring ""scores"".",http://www.feminist.org/rrights/pdf/aavw21.pdf,
1998-07,Houston,Texas,,2,ACID,"4 Houston clinics and others across the South had acid sprayed on them, injuring ""scores"".",http://www.feminist.org/rrights/pdf/aavw21.pdf,
1998-07,New Orleans,Louisiana,,,ACID,"5 New Orleans clinics and others across the South had acid sprayed on them, injuring ""scores"".",http://articles.latimes.com/1998/jul/19/news/mn-5293,
1998-07,New Orleans,Louisiana,,,ACID,"5 New Orleans clinics and others across the South had acid sprayed on them, injuring ""scores"".",http://articles.latimes.com/1998/jul/19/news/mn-5293,
1998-07,New Orleans,Louisiana,,,ACID,"5 New Orleans clinics and others across the South had acid sprayed on them, injuring ""scores"".",http://articles.latimes.com/1998/jul/19/news/mn-5293,
1998-07,New Orleans,Louisiana,,,ACID,"5 New Orleans clinics and others across the South had acid sprayed on them, injuring ""scores"".",http://articles.latimes.com/1998/jul/19/news/mn-5293,
1998-07,New Orleans,Louisiana,,,ACID,"5 New Orleans clinics and others across the South had acid sprayed on them, injuring ""scores"".",http://articles.latimes.com/1998/jul/19/news/mn-5293,
1995-02,San Francisco,California,,,ARSON,A burning tire soaked with gasoline was thrown at a building housing the Pregnancy Consultation Center and the Buena Vista Women's Center.,http://www.nytimes.com/1995/03/03/us/series-of-arson-fires-in-california-besets-abortion-providers.html ,
1995-02,Ventura,California,,,ARSON,A fire was set at a family planning clinic in Ventura.,http://www.nytimes.com/1995/03/03/us/series-of-arson-fires-in-california-besets-abortion-providers.html,
1995-02,Santa Barbara,California,,,ARSON,A fire broke out in a doctor's office in Santa Barbara.,http://www.nytimes.com/1995/03/03/us/series-of-arson-fires-in-california-besets-abortion-providers.html,
1995-02,San Luis Obispo,California,,,ARSON,A fire badly damaged a Planned Parenthood clinic in San Luis Obispo.,http://www.nytimes.com/1995/03/03/us/series-of-arson-fires-in-california-besets-abortion-providers.html,
1995-02,Santa Cruz,California,,,ARSON,Flares were thrown onto the roof of a clinic in Santa Cruz.,http://www.nytimes.com/1995/03/03/us/series-of-arson-fires-in-california-besets-abortion-providers.html,
1995-02,Albuquerque,New Mexico,,,ARSON,"Ricky Lee McDonald used chains, padlocks, and a burning shopping cart in 4 attempts to shut down a women's health clinic.",http://www.justice.gov/archive/opa/pr/Pre_96/March95/134.txt.html,
1995-02,Norfolk,Virginia,,,ARSON,"A fire was set to the Tidewater Women's Health Center, along with another clinic in Newport News, VA. Two were convicted.",http://articles.dailypress.com/1997-02-13/news/9702130116_1_fires-at-abortion-clinics-clinic-violence-norfolk-clinic,
1995-02,San Francisco,California,,,ARSON,"A burning tire was forced through a window at an abortion clinic, leading to some damage.",http://articles.orlandosentinel.com/1995-03-01/news/9503010550_1_clinic-arson-francisco-fire-department,
1995-03,Newport News,Virginia,,,ARSON,"A fire was set to the Peninsula Medical Center for Women in Newport News, along with another clinic in Norfolk VA. Two were convicted.",http://articles.dailypress.com/1997-02-13/news/9702130116_1_fires-at-abortion-clinics-clinic-violence-norfolk-clinic,
1995-09,Peoria,Illinois,,,ARSON,"A “Molotov Cocktail” burned the doors and sidewalks, causing an estimated $10,000 worth of damage.",http://www.feminist.org/rrights/pdf/aavw34.pdf,
1995-09,Lancaster,Pennsylvania,,,ARSON,"A firebomb severely damaged a Planned Parenthood office in Lancaster, Pa., that offers abortion referrals and family planning. ",http://www.nytimes.com/1993/09/30/us/clinic-firebombed-in-pennsylvania.html,
1995-09,Jackson,Wyoming,,,ARSON,"A clinic in Jackson, WY was bombed by Richard Thomas Andrews. He was later indicted for multiple attacks on clinics across several states.",http://www.sfgate.com/news/article/SACRAMENTO-Anti-Abortion-Activist-Pleads-3238377.php,
1996-11,Hannibal,Missouri,,,ARSON,"Arson of Family Planning Clinic. Damages estimated at $75,000.",http://www.feminist.org/rrights/pdf/aavw1.pdf,
1997-01,Tulsa,Oklahoma,,,ARSON,Two separate bomb incidents at the Reproductive Services and Adoption Affiliates clinic. A teenager was convicted in the bombing and his parents were charged.,http://www.feminist.org/rrights/pdf/aw0400.pdf,
1997-02,Falls Church,Virginia,,,ARSON,"A Falls Church abortion clinic was set on fire causing an estimated $25,000 in damages. James Mitchell sentenced to 10 years.",http://www.feminist.org/rrights/pdf/aw0400.pdf,
1997-04-02,Livingston,Montana,,,ARSON,The roof of the Medical Arts Center where a doctor who performed abortions worked was set on fire. An anti-abortion activist was arrested.,http://www.bozemandailychronicle.com/abortion-foe-tries-to-set-abortion-doctor-s-office-on/article_4ddb9c9d-81b3-5b01-97ae-61458dd95b53.html,
